"","White","Asian or Asian British"
"accuracy",0.638623326959847,0.665847665847666
"TPR",0.776902887139108,0.619047619047619
"TNR",0.633110087902888,0.66839378238342
"auc",0.768485589573384,0.67813964964224
"accuracy.majority",0.638623326959847,0.619164619164619
"TPR.majority",0.776902887139108,0.714285714285714
"TNR.majority",0.633110087902888,0.613989637305699
"auc.majority",0.768485589573384,0.705896866518628
"accuracy.offset",NA,0.653562653562654
"TPR.offset",NA,0.714285714285714
"TNR.offset",NA,0.650259067357513
"auc.offset",NA,0.693683691093018
"accuracy.minority.main",NA,0.643734643734644
"TPR.minority.main",NA,0.666666666666667
"TNR.minority.main",NA,0.642487046632124
"auc.minority.main",NA,0.681347150259067
"accuracy.majority.main",0.641239810808091,0.604422604422604
"TPR.majority.main",0.776902887139108,0.714285714285714
"TNR.majority.main",0.635830891586438,0.598445595854922
"auc.majority.main",0.770972655730717,0.706760424377005
"p",0.03834155177619,0.0515970515970516
